Chord,Octave,Notes,Midi numbers,Formula
Cmaj,1,"C, E, G","12, 16, 19","0, 4, 7"
Cmin,1,"C, D#, G","12, 15, 19","0, 3, 7"
C7,1,"C, E, G, A#","12, 16, 19, 22","0, 4, 7, 10"
Cmaj7,1,"C, E, G, B","12, 16, 19, 23","0, 4, 7, 11"
Cmin7,1,"C, D#, G, A#","12, 15, 19, 22","0, 3, 7, 10"
Cminmaj7,1,"C, D#, G, B","12, 15, 19, 23","0, 3, 7, 11"
Cdim,1,"C, D#, F#","12, 15, 18","0, 3, 6"
Caug,1,"C, E, G#","12, 16, 20","0, 4, 8"
Caug(b7),1,"C, E, G#, B","12, 16, 20, 23","0, 4, 8, 11"
Csus2,1,"C, D, G","12, 14, 19","0, 2, 7"
Csus4,1,"C, F, G","12, 17, 19","0, 5, 7"
C9,1,"C, E, G, A#, D","12, 16, 19, 22, 26","0, 4, 7, 10, 14"
C11,1,"C, E, G, A#, D, F","12, 16, 19, 22, 26, 29","0, 4, 7, 10, 14, 17"
C13,1,"C, E, G, A#, D, F, A","12, 16, 19, 22, 26, 29, 33","0, 4, 7, 10, 14, 17, 21"
Cmin9,1,"C, D#, G, A#, D","12, 15, 19, 22, 26","0, 3, 7, 10, 14"
Cmin11,1,"C, D#, G, A#, D, F","12, 15, 19, 22, 26, 29","0, 3, 7, 10, 14, 17"
Cmin13,1,"C, D#, G, A#, D, F, A","12, 15, 19, 22, 26, 29, 33","0, 3, 7, 10, 14, 17, 21"
Cmaj6,1,"C, E, G, A","12, 16, 19, 21","0, 4, 7, 9"
Cb6,1,"C, E, G, G#","12, 16, 19, 20","0, 4, 7, 8"
Cb3,1,"C, D, E, G","12, 14, 16, 19","0, 2, 4, 7"
C#9,1,"C, E, G, D#","12, 16, 19, 27","0, 4, 7, 15"
Cdim7,1,"C, D#, F#, A","12, 15, 18, 21","0, 3, 6, 9"
Cmin6,1,"C, D#, G, A","12, 15, 19, 21","0, 3, 7, 9"
Cmaj9,1,"C, E, G, B, D","12, 16, 19, 23, 26","0, 4, 7, 11, 14"
C7sus4,1,"C, F, G, A#","12, 17, 19, 22","0, 5, 7, 10"
C7sus2,1,"C, D, G, A#","12, 14, 19, 22","0, 2, 7, 10"
C7b5,1,"C, E, F#, A#","12, 16, 18, 22","0, 4, 6, 10"
C7#5,1,"C, E, G#, A#","12, 16, 20, 22","0, 4, 8, 10"
C7b9,1,"C, E, G, A#, C#","12, 16, 19, 22, 25","0, 4, 7, 10, 13"
C#4,1,"C, F#, G","12, 18, 19","0, 6, 7"
C7#9,1,"C, E, G, A#, D#","12, 16, 19, 22, 27","0, 4, 7, 10, 15"
Chdim,1,"C, D#, F#, A#","12, 15, 18, 22","0, 3, 6, 10"
C#maj,1,"C#, F, G#","13, 17, 20","0, 4, 7"
C#min,1,"C#, E, G#","13, 16, 20","0, 3, 7"
C#7,1,"C#, F, G#, B","13, 17, 20, 23","0, 4, 7, 10"
C#maj7,1,"C#, F, G#, C","13, 17, 20, 24","0, 4, 7, 11"
C#min7,1,"C#, E, G#, B","13, 16, 20, 23","0, 3, 7, 10"
C#minmaj7,1,"C#, E, G#, C","13, 16, 20, 24","0, 3, 7, 11"
C#dim,1,"C#, E, G","13, 16, 19","0, 3, 6"
C#aug,1,"C#, F, A","13, 17, 21","0, 4, 8"
C#aug(b7),1,"C#, F, A, C","13, 17, 21, 24","0, 4, 8, 11"
C#sus2,1,"C#, D#, G#","13, 15, 20","0, 2, 7"
C#sus4,1,"C#, F#, G#","13, 18, 20","0, 5, 7"
C#9,1,"C#, F, G#, B, D#","13, 17, 20, 23, 27","0, 4, 7, 10, 14"
C#11,1,"C#, F, G#, B, D#, F#","13, 17, 20, 23, 27, 30","0, 4, 7, 10, 14, 17"
C#13,1,"C#, F, G#, B, D#, F#, A#","13, 17, 20, 23, 27, 30, 34","0, 4, 7, 10, 14, 17, 21"
C#min9,1,"C#, E, G#, B, D#","13, 16, 20, 23, 27","0, 3, 7, 10, 14"
C#min11,1,"C#, E, G#, B, D#, F#","13, 16, 20, 23, 27, 30","0, 3, 7, 10, 14, 17"
C#min13,1,"C#, E, G#, B, D#, F#, A#","13, 16, 20, 23, 27, 30, 34","0, 3, 7, 10, 14, 17, 21"
C#maj6,1,"C#, F, G#, A#","13, 17, 20, 22","0, 4, 7, 9"
C#b6,1,"C#, F, G#, A","13, 17, 20, 21","0, 4, 7, 8"
C#b3,1,"C#, D#, F, G#","13, 15, 17, 20","0, 2, 4, 7"
C##9,1,"C#, F, G#, E","13, 17, 20, 28","0, 4, 7, 15"
C#dim7,1,"C#, E, G, A#","13, 16, 19, 22","0, 3, 6, 9"
C#min6,1,"C#, E, G#, A#","13, 16, 20, 22","0, 3, 7, 9"
C#maj9,1,"C#, F, G#, C, D#","13, 17, 20, 24, 27","0, 4, 7, 11, 14"
C#7sus4,1,"C#, F#, G#, B","13, 18, 20, 23","0, 5, 7, 10"
C#7sus2,1,"C#, D#, G#, B","13, 15, 20, 23","0, 2, 7, 10"
C#7b5,1,"C#, F, G, B","13, 17, 19, 23","0, 4, 6, 10"
C#7#5,1,"C#, F, A, B","13, 17, 21, 23","0, 4, 8, 10"
C#7b9,1,"C#, F, G#, B, D","13, 17, 20, 23, 26","0, 4, 7, 10, 13"
C##4,1,"C#, G, G#","13, 19, 20","0, 6, 7"
C#7#9,1,"C#, F, G#, B, E","13, 17, 20, 23, 28","0, 4, 7, 10, 15"
C#hdim,1,"C#, E, G, B","13, 16, 19, 23","0, 3, 6, 10"
Dmaj,1,"D, F#, A","14, 18, 21","0, 4, 7"
Dmin,1,"D, F, A","14, 17, 21","0, 3, 7"
D7,1,"D, F#, A, C","14, 18, 21, 24","0, 4, 7, 10"
Dmaj7,1,"D, F#, A, C#","14, 18, 21, 25","0, 4, 7, 11"
Dmin7,1,"D, F, A, C","14, 17, 21, 24","0, 3, 7, 10"
Dminmaj7,1,"D, F, A, C#","14, 17, 21, 25","0, 3, 7, 11"
Ddim,1,"D, F, G#","14, 17, 20","0, 3, 6"
Daug,1,"D, F#, A#","14, 18, 22","0, 4, 8"
Daug(b7),1,"D, F#, A#, C#","14, 18, 22, 25","0, 4, 8, 11"
Dsus2,1,"D, E, A","14, 16, 21","0, 2, 7"
Dsus4,1,"D, G, A","14, 19, 21","0, 5, 7"
D9,1,"D, F#, A, C, E","14, 18, 21, 24, 28","0, 4, 7, 10, 14"
D11,1,"D, F#, A, C, E, G","14, 18, 21, 24, 28, 31","0, 4, 7, 10, 14, 17"
D13,1,"D, F#, A, C, E, G, B","14, 18, 21, 24, 28, 31, 35","0, 4, 7, 10, 14, 17, 21"
Dmin9,1,"D, F, A, C, E","14, 17, 21, 24, 28","0, 3, 7, 10, 14"
